rsid,gene,trait,impact
rs3000001,GENE1,Aging Trait 1,Impact 1
rs3000002,GENE2,Aging Trait 2,Impact 2
rs3000003,GENE3,Aging Trait 3,Impact 3
rs3000004,GENE4,Aging Trait 4,Impact 4
rs3000005,GENE5,Aging Trait 5,Impact 5
rs3000006,GENE6,Aging Trait 6,Impact 6
rs3000007,GENE7,Aging Trait 7,Impact 7
rs3000008,GENE8,Aging Trait 8,Impact 8
rs3000009,GENE9,Aging Trait 9,Impact 9
rs3000010,GENE10,Aging Trait 10,Impact 10
rs3000011,GENE11,Aging Trait 11,Impact 11
rs3000012,GENE12,Aging Trait 12,Impact 12
rs3000013,GENE13,Aging Trait 13,Impact 13
rs3000014,GENE14,Aging Trait 14,Impact 14
rs3000015,GENE15,Aging Trait 15,Impact 15
rs3000016,GENE16,Aging Trait 16,Impact 16
rs3000017,GENE17,Aging Trait 17,Impact 17
rs3000018,GENE18,Aging Trait 18,Impact 18
rs3000019,GENE19,Aging Trait 19,Impact 19
rs3000020,GENE20,Aging Trait 20,Impact 20
rs3000021,GENE21,Aging Trait 21,Impact 21
rs3000022,GENE22,Aging Trait 22,Impact 22
rs3000023,GENE23,Aging Trait 23,Impact 23
rs3000024,GENE24,Aging Trait 24,Impact 24
rs3000025,GENE25,Aging Trait 25,Impact 25
rs3000026,GENE26,Aging Trait 26,Impact 26
rs3000027,GENE27,Aging Trait 27,Impact 27
rs3000028,GENE28,Aging Trait 28,Impact 28
rs3000029,GENE29,Aging Trait 29,Impact 29
rs3000030,GENE30,Aging Trait 30,Impact 30
rs3000031,GENE31,Aging Trait 31,Impact 31
rs3000032,GENE32,Aging Trait 32,Impact 32
rs3000033,GENE33,Aging Trait 33,Impact 33
rs3000034,GENE34,Aging Trait 34,Impact 34
rs3000035,GENE35,Aging Trait 35,Impact 35
rs3000036,GENE36,Aging Trait 36,Impact 36
rs3000037,GENE37,Aging Trait 37,Impact 37
rs3000038,GENE38,Aging Trait 38,Impact 38
rs3000039,GENE39,Aging Trait 39,Impact 39
rs3000040,GENE40,Aging Trait 40,Impact 40
rs3000041,GENE41,Aging Trait 41,Impact 41
rs3000042,GENE42,Aging Trait 42,Impact 42
rs3000043,GENE43,Aging Trait 43,Impact 43
rs3000044,GENE44,Aging Trait 44,Impact 44
rs3000045,GENE45,Aging Trait 45,Impact 45
rs3000046,GENE46,Aging Trait 46,Impact 46
rs3000047,GENE47,Aging Trait 47,Impact 47
rs3000048,GENE48,Aging Trait 48,Impact 48
rs3000049,GENE49,Aging Trait 49,Impact 49
rs3000050,GENE50,Aging Trait 50,Impact 50
rs3000051,GENE51,Aging Trait 51,Impact 51
rs3000052,GENE52,Aging Trait 52,Impact 52
rs3000053,GENE53,Aging Trait 53,Impact 53
rs3000054,GENE54,Aging Trait 54,Impact 54
rs3000055,GENE55,Aging Trait 55,Impact 55
rs3000056,GENE56,Aging Trait 56,Impact 56
rs3000057,GENE57,Aging Trait 57,Impact 57
rs3000058,GENE58,Aging Trait 58,Impact 58
rs3000059,GENE59,Aging Trait 59,Impact 59
rs3000060,GENE60,Aging Trait 60,Impact 60
rs3000061,GENE61,Aging Trait 61,Impact 61
rs3000062,GENE62,Aging Trait 62,Impact 62
rs3000063,GENE63,Aging Trait 63,Impact 63
rs3000064,GENE64,Aging Trait 64,Impact 64
rs3000065,GENE65,Aging Trait 65,Impact 65
rs3000066,GENE66,Aging Trait 66,Impact 66
rs3000067,GENE67,Aging Trait 67,Impact 67
rs3000068,GENE68,Aging Trait 68,Impact 68
rs3000069,GENE69,Aging Trait 69,Impact 69
rs3000070,GENE70,Aging Trait 70,Impact 70
rs3000071,GENE71,Aging Trait 71,Impact 71
rs3000072,GENE72,Aging Trait 72,Impact 72
rs3000073,GENE73,Aging Trait 73,Impact 73
rs3000074,GENE74,Aging Trait 74,Impact 74
rs3000075,GENE75,Aging Trait 75,Impact 75
rs3000076,GENE76,Aging Trait 76,Impact 76
rs3000077,GENE77,Aging Trait 77,Impact 77
rs3000078,GENE78,Aging Trait 78,Impact 78
rs3000079,GENE79,Aging Trait 79,Impact 79
