rsid,gene,trait,impact
rs2000000,BRCA2,Breast cancer,Truncating variant increases risk
rs2000001,TP53,Li-Fraumeni syndrome,Pathogenic mutation in tumor suppressor gene
rs2000002,MC1R,Melanoma,Associated with red hair and increased melanoma risk
rs2000003,RET,Medullary thyroid carcinoma,Activating mutation increases cancer risk
rs2000004,RET,MEN2 syndrome,Pathogenic gain-of-function mutation
rs2000005,BRCA2,Breast cancer,Truncating variant increases risk
rs2000006,TP53,Li-Fraumeni syndrome,Pathogenic mutation in tumor suppressor gene
rs2000007,MC1R,Melanoma,Associated with red hair and increased melanoma risk
rs2000008,RET,Medullary thyroid carcinoma,Activating mutation increases cancer risk
rs2000009,RET,MEN2 syndrome,Pathogenic gain-of-function mutation
rs2000010,BRCA2,Breast cancer,Truncating variant increases risk
rs2000011,TP53,Li-Fraumeni syndrome,Pathogenic mutation in tumor suppressor gene
rs2000012,MC1R,Melanoma,Associated with red hair and increased melanoma risk
rs2000013,RET,Medullary thyroid carcinoma,Activating mutation increases cancer risk
rs2000014,RET,MEN2 syndrome,Pathogenic gain-of-function mutation
rs2000015,BRCA2,Breast cancer,Truncating variant increases risk
rs2000016,TP53,Li-Fraumeni syndrome,Pathogenic mutation in tumor suppressor gene
rs2000017,MC1R,Melanoma,Associated with red hair and increased melanoma risk
rs2000018,RET,Medullary thyroid carcinoma,Activating mutation increases cancer risk
rs2000019,RET,MEN2 syndrome,Pathogenic gain-of-function mutation
rs2000020,BRCA2,Breast cancer,Truncating variant increases risk
rs2000021,TP53,Li-Fraumeni syndrome,Pathogenic mutation in tumor suppressor gene
rs2000022,MC1R,Melanoma,Associated with red hair and increased melanoma risk
rs2000023,RET,Medullary thyroid carcinoma,Activating mutation increases cancer risk
rs2000024,RET,MEN2 syndrome,Pathogenic gain-of-function mutation
rs2000025,BRCA2,Breast cancer,Truncating variant increases risk
rs2000026,TP53,Li-Fraumeni syndrome,Pathogenic mutation in tumor suppressor gene
rs2000027,MC1R,Melanoma,Associated with red hair and increased melanoma risk
rs2000028,RET,Medullary thyroid carcinoma,Activating mutation increases cancer risk
rs2000029,RET,MEN2 syndrome,Pathogenic gain-of-function mutation
rs2000030,BRCA2,Breast cancer,Truncating variant increases risk
rs2000031,TP53,Li-Fraumeni syndrome,Pathogenic mutation in tumor suppressor gene
rs2000032,MC1R,Melanoma,Associated with red hair and increased melanoma risk
rs2000033,RET,Medullary thyroid carcinoma,Activating mutation increases cancer risk
rs2000034,RET,MEN2 syndrome,Pathogenic gain-of-function mutation
rs2000035,BRCA2,Breast cancer,Truncating variant increases risk
rs2000036,TP53,Li-Fraumeni syndrome,Pathogenic mutation in tumor suppressor gene
rs2000037,MC1R,Melanoma,Associated with red hair and increased melanoma risk
rs2000038,RET,Medullary thyroid carcinoma,Activating mutation increases cancer risk
rs2000039,RET,MEN2 syndrome,Pathogenic gain-of-function mutation
rs2000040,BRCA2,Breast cancer,Truncating variant increases risk
rs2000041,TP53,Li-Fraumeni syndrome,Pathogenic mutation in tumor suppressor gene
rs2000042,MC1R,Melanoma,Associated with red hair and increased melanoma risk
rs2000043,RET,Medullary thyroid carcinoma,Activating mutation increases cancer risk
rs2000044,RET,MEN2 syndrome,Pathogenic gain-of-function mutation
rs2000045,BRCA2,Breast cancer,Truncating variant increases risk
rs2000046,TP53,Li-Fraumeni syndrome,Pathogenic mutation in tumor suppressor gene
rs2000047,MC1R,Melanoma,Associated with red hair and increased melanoma risk
rs2000048,RET,Medullary thyroid carcinoma,Activating mutation increases cancer risk
rs2000049,RET,MEN2 syndrome,Pathogenic gain-of-function mutation
rs2000050,BRCA2,Breast cancer,Truncating variant increases risk
rs2000051,TP53,Li-Fraumeni syndrome,Pathogenic mutation in tumor suppressor gene
rs2000052,MC1R,Melanoma,Associated with red hair and increased melanoma risk
rs2000053,RET,Medullary thyroid carcinoma,Activating mutation increases cancer risk
rs2000054,RET,MEN2 syndrome,Pathogenic gain-of-function mutation
rs2000055,BRCA2,Breast cancer,Truncating variant increases risk
rs2000056,TP53,Li-Fraumeni syndrome,Pathogenic mutation in tumor suppressor gene
rs2000057,MC1R,Melanoma,Associated with red hair and increased melanoma risk
rs2000058,RET,Medullary thyroid carcinoma,Activating mutation increases cancer risk
rs2000059,RET,MEN2 syndrome,Pathogenic gain-of-function mutation
rs2000060,BRCA2,Breast cancer,Truncating variant increases risk
rs2000061,TP53,Li-Fraumeni syndrome,Pathogenic mutation in tumor suppressor gene
rs2000062,MC1R,Melanoma,Associated with red hair and increased melanoma risk
rs2000063,RET,Medullary thyroid carcinoma,Activating mutation increases cancer risk
rs2000064,RET,MEN2 syndrome,Pathogenic gain-of-function mutation
rs2000065,BRCA2,Breast cancer,Truncating variant increases risk
rs2000066,TP53,Li-Fraumeni syndrome,Pathogenic mutation in tumor suppressor gene
rs2000067,MC1R,Melanoma,Associated with red hair and increased melanoma risk
rs2000068,RET,Medullary thyroid carcinoma,Activating mutation increases cancer risk
rs2000069,RET,MEN2 syndrome,Pathogenic gain-of-function mutation
rs2000070,BRCA2,Breast cancer,Truncating variant increases risk
rs2000071,TP53,Li-Fraumeni syndrome,Pathogenic mutation in tumor suppressor gene
rs2000072,MC1R,Melanoma,Associated with red hair and increased melanoma risk
rs2000073,RET,Medullary thyroid carcinoma,Activating mutation increases cancer risk
rs2000074,RET,MEN2 syndrome,Pathogenic gain-of-function mutation
rs2000075,BRCA2,Breast cancer,Truncating variant increases risk
rs2000076,TP53,Li-Fraumeni syndrome,Pathogenic mutation in tumor suppressor gene
rs2000077,MC1R,Melanoma,Associated with red hair and increased melanoma risk
rs2000078,RET,Medullary thyroid carcinoma,Activating mutation increases cancer risk
rs2000079,RET,MEN2 syndrome,Pathogenic gain-of-function mutation
rs2000080,BRCA2,Breast cancer,Truncating variant increases risk
rs2000081,TP53,Li-Fraumeni syndrome,Pathogenic mutation in tumor suppressor gene
rs2000082,MC1R,Melanoma,Associated with red hair and increased melanoma risk
rs2000083,RET,Medullary thyroid carcinoma,Activating mutation increases cancer risk
rs2000084,RET,MEN2 syndrome,Pathogenic gain-of-function mutation
rs2000085,BRCA2,Breast cancer,Truncating variant increases risk
rs2000086,TP53,Li-Fraumeni syndrome,Pathogenic mutation in tumor suppressor gene
rs2000087,MC1R,Melanoma,Associated with red hair and increased melanoma risk
rs2000088,RET,Medullary thyroid carcinoma,Activating mutation increases cancer risk
rs2000089,RET,MEN2 syndrome,Pathogenic gain-of-function mutation
rs2000090,BRCA2,Breast cancer,Truncating variant increases risk
rs2000091,TP53,Li-Fraumeni syndrome,Pathogenic mutation in tumor suppressor gene
rs2000092,MC1R,Melanoma,Associated with red hair and increased melanoma risk
rs2000093,RET,Medullary thyroid carcinoma,Activating mutation increases cancer risk
rs2000094,RET,MEN2 syndrome,Pathogenic gain-of-function mutation
rs2000095,BRCA2,Breast cancer,Truncating variant increases risk
rs2000096,TP53,Li-Fraumeni syndrome,Pathogenic mutation in tumor suppressor gene
rs2000097,MC1R,Melanoma,Associated with red hair and increased melanoma risk
rs2000098,RET,Medullary thyroid carcinoma,Activating mutation increases cancer risk
rs2000099,RET,MEN2 syndrome,Pathogenic gain-of-function mutation
rs2000100,BRCA2,Breast cancer,Truncating variant increases risk
rs2000101,TP53,Li-Fraumeni syndrome,Pathogenic mutation in tumor suppressor gene
rs2000102,MC1R,Melanoma,Associated with red hair and increased melanoma risk
rs2000103,RET,Medullary thyroid carcinoma,Activating mutation increases cancer risk
rs2000104,RET,MEN2 syndrome,Pathogenic gain-of-function mutation
rs2000105,BRCA2,Breast cancer,Truncating variant increases risk
rs2000106,TP53,Li-Fraumeni syndrome,Pathogenic mutation in tumor suppressor gene
rs2000107,MC1R,Melanoma,Associated with red hair and increased melanoma risk
rs2000108,RET,Medullary thyroid carcinoma,Activating mutation increases cancer risk
rs2000109,RET,MEN2 syndrome,Pathogenic gain-of-function mutation
rs2000110,BRCA2,Breast cancer,Truncating variant increases risk
rs2000111,TP53,Li-Fraumeni syndrome,Pathogenic mutation in tumor suppressor gene
rs2000112,MC1R,Melanoma,Associated with red hair and increased melanoma risk
rs2000113,RET,Medullary thyroid carcinoma,Activating mutation increases cancer risk
rs2000114,RET,MEN2 syndrome,Pathogenic gain-of-function mutation
rs2000115,BRCA2,Breast cancer,Truncating variant increases risk
rs2000116,TP53,Li-Fraumeni syndrome,Pathogenic mutation in tumor suppressor gene
rs2000117,MC1R,Melanoma,Associated with red hair and increased melanoma risk
rs2000118,RET,Medullary thyroid carcinoma,Activating mutation increases cancer risk
rs2000119,RET,MEN2 syndrome,Pathogenic gain-of-function mutation
rs2000120,BRCA2,Breast cancer,Truncating variant increases risk
rs2000121,TP53,Li-Fraumeni syndrome,Pathogenic mutation in tumor suppressor gene
rs2000122,MC1R,Melanoma,Associated with red hair and increased melanoma risk
rs2000123,RET,Medullary thyroid carcinoma,Activating mutation increases cancer risk
rs2000124,RET,MEN2 syndrome,Pathogenic gain-of-function mutation
rs2000125,BRCA2,Breast cancer,Truncating variant increases risk
rs2000126,TP53,Li-Fraumeni syndrome,Pathogenic mutation in tumor suppressor gene
rs2000127,MC1R,Melanoma,Associated with red hair and increased melanoma risk
rs2000128,RET,Medullary thyroid carcinoma,Activating mutation increases cancer risk
rs2000129,RET,MEN2 syndrome,Pathogenic gain-of-function mutation
rs2000130,BRCA2,Breast cancer,Truncating variant increases risk
rs2000131,TP53,Li-Fraumeni syndrome,Pathogenic mutation in tumor suppressor gene
rs2000132,MC1R,Melanoma,Associated with red hair and increased melanoma risk
rs2000133,RET,Medullary thyroid carcinoma,Activating mutation increases cancer risk
rs2000134,RET,MEN2 syndrome,Pathogenic gain-of-function mutation
rs2000135,BRCA2,Breast cancer,Truncating variant increases risk
rs2000136,TP53,Li-Fraumeni syndrome,Pathogenic mutation in tumor suppressor gene
rs2000137,MC1R,Melanoma,Associated with red hair and increased melanoma risk
rs2000138,RET,Medullary thyroid carcinoma,Activating mutation increases cancer risk
rs2000139,RET,MEN2 syndrome,Pathogenic gain-of-function mutation
rs2000140,BRCA2,Breast cancer,Truncating variant increases risk
rs2000141,TP53,Li-Fraumeni syndrome,Pathogenic mutation in tumor suppressor gene
rs2000142,MC1R,Melanoma,Associated with red hair and increased melanoma risk
rs2000143,RET,Medullary thyroid carcinoma,Activating mutation increases cancer risk
rs2000144,RET,MEN2 syndrome,Pathogenic gain-of-function mutation
rs2000145,BRCA2,Breast cancer,Truncating variant increases risk
rs2000146,TP53,Li-Fraumeni syndrome,Pathogenic mutation in tumor suppressor gene
rs2000147,MC1R,Melanoma,Associated with red hair and increased melanoma risk
rs2000148,RET,Medullary thyroid carcinoma,Activating mutation increases cancer risk
rs2000149,RET,MEN2 syndrome,Pathogenic gain-of-function mutation
rs2000150,BRCA2,Breast cancer,Truncating variant increases risk
rs2000151,TP53,Li-Fraumeni syndrome,Pathogenic mutation in tumor suppressor gene
rs2000152,MC1R,Melanoma,Associated with red hair and increased melanoma risk
rs2000153,RET,Medullary thyroid carcinoma,Activating mutation increases cancer risk
rs2000154,RET,MEN2 syndrome,Pathogenic gain-of-function mutation
rs2000155,BRCA2,Breast cancer,Truncating variant increases risk
rs2000156,TP53,Li-Fraumeni syndrome,Pathogenic mutation in tumor suppressor gene
rs2000157,MC1R,Melanoma,Associated with red hair and increased melanoma risk
rs2000158,RET,Medullary thyroid carcinoma,Activating mutation increases cancer risk
rs2000159,RET,MEN2 syndrome,Pathogenic gain-of-function mutation
rs2000160,BRCA2,Breast cancer,Truncating variant increases risk
rs2000161,TP53,Li-Fraumeni syndrome,Pathogenic mutation in tumor suppressor gene
rs2000162,MC1R,Melanoma,Associated with red hair and increased melanoma risk
rs2000163,RET,Medullary thyroid carcinoma,Activating mutation increases cancer risk
rs2000164,RET,MEN2 syndrome,Pathogenic gain-of-function mutation
rs2000165,BRCA2,Breast cancer,Truncating variant increases risk
rs2000166,TP53,Li-Fraumeni syndrome,Pathogenic mutation in tumor suppressor gene
rs2000167,MC1R,Melanoma,Associated with red hair and increased melanoma risk
rs2000168,RET,Medullary thyroid carcinoma,Activating mutation increases cancer risk
rs2000169,RET,MEN2 syndrome,Pathogenic gain-of-function mutation
rs2000170,BRCA2,Breast cancer,Truncating variant increases risk
rs2000171,TP53,Li-Fraumeni syndrome,Pathogenic mutation in tumor suppressor gene
rs2000172,MC1R,Melanoma,Associated with red hair and increased melanoma risk
rs2000173,RET,Medullary thyroid carcinoma,Activating mutation increases cancer risk
rs2000174,RET,MEN2 syndrome,Pathogenic gain-of-function mutation
rs2000175,BRCA2,Breast cancer,Truncating variant increases risk
rs2000176,TP53,Li-Fraumeni syndrome,Pathogenic mutation in tumor suppressor gene
rs2000177,MC1R,Melanoma,Associated with red hair and increased melanoma risk
rs2000178,RET,Medullary thyroid carcinoma,Activating mutation increases cancer risk
rs2000179,RET,MEN2 syndrome,Pathogenic gain-of-function mutation
rs2000180,BRCA2,Breast cancer,Truncating variant increases risk
rs2000181,TP53,Li-Fraumeni syndrome,Pathogenic mutation in tumor suppressor gene
rs2000182,MC1R,Melanoma,Associated with red hair and increased melanoma risk
rs2000183,RET,Medullary thyroid carcinoma,Activating mutation increases cancer risk
rs2000184,RET,MEN2 syndrome,Pathogenic gain-of-function mutation
rs2000185,BRCA2,Breast cancer,Truncating variant increases risk
rs2000186,TP53,Li-Fraumeni syndrome,Pathogenic mutation in tumor suppressor gene
rs2000187,MC1R,Melanoma,Associated with red hair and increased melanoma risk
rs2000188,RET,Medullary thyroid carcinoma,Activating mutation increases cancer risk
rs2000189,RET,MEN2 syndrome,Pathogenic gain-of-function mutation
rs2000190,BRCA2,Breast cancer,Truncating variant increases risk
rs2000191,TP53,Li-Fraumeni syndrome,Pathogenic mutation in tumor suppressor gene
rs2000192,MC1R,Melanoma,Associated with red hair and increased melanoma risk
rs2000193,RET,Medullary thyroid carcinoma,Activating mutation increases cancer risk
rs2000194,RET,MEN2 syndrome,Pathogenic gain-of-function mutation
rs2000195,BRCA2,Breast cancer,Truncating variant increases risk
rs2000196,TP53,Li-Fraumeni syndrome,Pathogenic mutation in tumor suppressor gene
rs2000197,MC1R,Melanoma,Associated with red hair and increased melanoma risk
rs2000198,RET,Medullary thyroid carcinoma,Activating mutation increases cancer risk
rs2000199,RET,MEN2 syndrome,Pathogenic gain-of-function mutation
