rsid,gene,trait,impact
rs3000001,GENE1,Ancestry Trait 1,Impact 1
rs3000002,GENE2,Ancestry Trait 2,Impact 2
rs3000003,GENE3,Ancestry Trait 3,Impact 3
rs3000004,GENE4,Ancestry Trait 4,Impact 4
rs3000005,GENE5,Ancestry Trait 5,Impact 5
rs3000006,GENE6,Ancestry Trait 6,Impact 6
rs3000007,GENE7,Ancestry Trait 7,Impact 7
rs3000008,GENE8,Ancestry Trait 8,Impact 8
rs3000009,GENE9,Ancestry Trait 9,Impact 9
rs3000010,GENE10,Ancestry Trait 10,Impact 10
rs3000011,GENE11,Ancestry Trait 11,Impact 11
rs3000012,GENE12,Ancestry Trait 12,Impact 12
rs3000013,GENE13,Ancestry Trait 13,Impact 13
rs3000014,GENE14,Ancestry Trait 14,Impact 14
rs3000015,GENE15,Ancestry Trait 15,Impact 15
rs3000016,GENE16,Ancestry Trait 16,Impact 16
rs3000017,GENE17,Ancestry Trait 17,Impact 17
rs3000018,GENE18,Ancestry Trait 18,Impact 18
rs3000019,GENE19,Ancestry Trait 19,Impact 19
rs3000020,GENE20,Ancestry Trait 20,Impact 20
rs3000021,GENE21,Ancestry Trait 21,Impact 21
rs3000022,GENE22,Ancestry Trait 22,Impact 22
rs3000023,GENE23,Ancestry Trait 23,Impact 23
rs3000024,GENE24,Ancestry Trait 24,Impact 24
rs3000025,GENE25,Ancestry Trait 25,Impact 25
rs3000026,GENE26,Ancestry Trait 26,Impact 26
rs3000027,GENE27,Ancestry Trait 27,Impact 27
rs3000028,GENE28,Ancestry Trait 28,Impact 28
rs3000029,GENE29,Ancestry Trait 29,Impact 29
rs3000030,GENE30,Ancestry Trait 30,Impact 30
rs3000031,GENE31,Ancestry Trait 31,Impact 31
rs3000032,GENE32,Ancestry Trait 32,Impact 32
rs3000033,GENE33,Ancestry Trait 33,Impact 33
rs3000034,GENE34,Ancestry Trait 34,Impact 34
rs3000035,GENE35,Ancestry Trait 35,Impact 35
rs3000036,GENE36,Ancestry Trait 36,Impact 36
rs3000037,GENE37,Ancestry Trait 37,Impact 37
rs3000038,GENE38,Ancestry Trait 38,Impact 38
rs3000039,GENE39,Ancestry Trait 39,Impact 39
rs3000040,GENE40,Ancestry Trait 40,Impact 40
rs3000041,GENE41,Ancestry Trait 41,Impact 41
rs3000042,GENE42,Ancestry Trait 42,Impact 42
rs3000043,GENE43,Ancestry Trait 43,Impact 43
rs3000044,GENE44,Ancestry Trait 44,Impact 44
rs3000045,GENE45,Ancestry Trait 45,Impact 45
rs3000046,GENE46,Ancestry Trait 46,Impact 46
rs3000047,GENE47,Ancestry Trait 47,Impact 47
rs3000048,GENE48,Ancestry Trait 48,Impact 48
rs3000049,GENE49,Ancestry Trait 49,Impact 49
rs3000050,GENE50,Ancestry Trait 50,Impact 50
rs3000051,GENE51,Ancestry Trait 51,Impact 51
rs3000052,GENE52,Ancestry Trait 52,Impact 52
rs3000053,GENE53,Ancestry Trait 53,Impact 53
rs3000054,GENE54,Ancestry Trait 54,Impact 54
rs3000055,GENE55,Ancestry Trait 55,Impact 55
rs3000056,GENE56,Ancestry Trait 56,Impact 56
rs3000057,GENE57,Ancestry Trait 57,Impact 57
rs3000058,GENE58,Ancestry Trait 58,Impact 58
rs3000059,GENE59,Ancestry Trait 59,Impact 59
rs3000060,GENE60,Ancestry Trait 60,Impact 60
rs3000061,GENE61,Ancestry Trait 61,Impact 61
rs3000062,GENE62,Ancestry Trait 62,Impact 62
rs3000063,GENE63,Ancestry Trait 63,Impact 63
rs3000064,GENE64,Ancestry Trait 64,Impact 64
rs3000065,GENE65,Ancestry Trait 65,Impact 65
rs3000066,GENE66,Ancestry Trait 66,Impact 66
rs3000067,GENE67,Ancestry Trait 67,Impact 67
rs3000068,GENE68,Ancestry Trait 68,Impact 68
rs3000069,GENE69,Ancestry Trait 69,Impact 69
rs3000070,GENE70,Ancestry Trait 70,Impact 70
rs3000071,GENE71,Ancestry Trait 71,Impact 71
rs3000072,GENE72,Ancestry Trait 72,Impact 72
rs3000073,GENE73,Ancestry Trait 73,Impact 73
rs3000074,GENE74,Ancestry Trait 74,Impact 74
rs3000075,GENE75,Ancestry Trait 75,Impact 75
rs3000076,GENE76,Ancestry Trait 76,Impact 76
rs3000077,GENE77,Ancestry Trait 77,Impact 77
rs3000078,GENE78,Ancestry Trait 78,Impact 78
rs3000079,GENE79,Ancestry Trait 79,Impact 79
rs3000080,GENE80,Ancestry Trait 80,Impact 80
rs3000081,GENE81,Ancestry Trait 81,Impact 81
rs3000082,GENE82,Ancestry Trait 82,Impact 82
rs3000083,GENE83,Ancestry Trait 83,Impact 83
rs3000084,GENE84,Ancestry Trait 84,Impact 84
rs3000085,GENE85,Ancestry Trait 85,Impact 85
rs3000086,GENE86,Ancestry Trait 86,Impact 86
rs3000087,GENE87,Ancestry Trait 87,Impact 87
rs3000088,GENE88,Ancestry Trait 88,Impact 88
rs3000089,GENE89,Ancestry Trait 89,Impact 89
rs3000090,GENE90,Ancestry Trait 90,Impact 90
rs3000091,GENE91,Ancestry Trait 91,Impact 91
rs3000092,GENE92,Ancestry Trait 92,Impact 92
rs3000093,GENE93,Ancestry Trait 93,Impact 93
rs3000094,GENE94,Ancestry Trait 94,Impact 94
rs3000095,GENE95,Ancestry Trait 95,Impact 95
rs3000096,GENE96,Ancestry Trait 96,Impact 96
