rsid,gene,trait,impact
rs3000001,GENE1,Cardio Trait 1,Impact 1
rs3000002,GENE2,Cardio Trait 2,Impact 2
rs3000003,GENE3,Cardio Trait 3,Impact 3
rs3000004,GENE4,Cardio Trait 4,Impact 4
rs3000005,GENE5,Cardio Trait 5,Impact 5
rs3000006,GENE6,Cardio Trait 6,Impact 6
rs3000007,GENE7,Cardio Trait 7,Impact 7
rs3000008,GENE8,Cardio Trait 8,Impact 8
rs3000009,GENE9,Cardio Trait 9,Impact 9
rs3000010,GENE10,Cardio Trait 10,Impact 10
rs3000011,GENE11,Cardio Trait 11,Impact 11
rs3000012,GENE12,Cardio Trait 12,Impact 12
rs3000013,GENE13,Cardio Trait 13,Impact 13
rs3000014,GENE14,Cardio Trait 14,Impact 14
rs3000015,GENE15,Cardio Trait 15,Impact 15
rs3000016,GENE16,Cardio Trait 16,Impact 16
rs3000017,GENE17,Cardio Trait 17,Impact 17
rs3000018,GENE18,Cardio Trait 18,Impact 18
rs3000019,GENE19,Cardio Trait 19,Impact 19
rs3000020,GENE20,Cardio Trait 20,Impact 20
rs3000021,GENE21,Cardio Trait 21,Impact 21
rs3000022,GENE22,Cardio Trait 22,Impact 22
rs3000023,GENE23,Cardio Trait 23,Impact 23
rs3000024,GENE24,Cardio Trait 24,Impact 24
rs3000025,GENE25,Cardio Trait 25,Impact 25
rs3000026,GENE26,Cardio Trait 26,Impact 26
rs3000027,GENE27,Cardio Trait 27,Impact 27
rs3000028,GENE28,Cardio Trait 28,Impact 28
rs3000029,GENE29,Cardio Trait 29,Impact 29
rs3000030,GENE30,Cardio Trait 30,Impact 30
rs3000031,GENE31,Cardio Trait 31,Impact 31
rs3000032,GENE32,Cardio Trait 32,Impact 32
rs3000033,GENE33,Cardio Trait 33,Impact 33
rs3000034,GENE34,Cardio Trait 34,Impact 34
rs3000035,GENE35,Cardio Trait 35,Impact 35
rs3000036,GENE36,Cardio Trait 36,Impact 36
rs3000037,GENE37,Cardio Trait 37,Impact 37
rs3000038,GENE38,Cardio Trait 38,Impact 38
rs3000039,GENE39,Cardio Trait 39,Impact 39
rs3000040,GENE40,Cardio Trait 40,Impact 40
rs3000041,GENE41,Cardio Trait 41,Impact 41
rs3000042,GENE42,Cardio Trait 42,Impact 42
rs3000043,GENE43,Cardio Trait 43,Impact 43
rs3000044,GENE44,Cardio Trait 44,Impact 44
rs3000045,GENE45,Cardio Trait 45,Impact 45
rs3000046,GENE46,Cardio Trait 46,Impact 46
rs3000047,GENE47,Cardio Trait 47,Impact 47
rs3000048,GENE48,Cardio Trait 48,Impact 48
rs3000049,GENE49,Cardio Trait 49,Impact 49
rs3000050,GENE50,Cardio Trait 50,Impact 50
rs3000051,GENE51,Cardio Trait 51,Impact 51
rs3000052,GENE52,Cardio Trait 52,Impact 52
rs3000053,GENE53,Cardio Trait 53,Impact 53
rs3000054,GENE54,Cardio Trait 54,Impact 54
rs3000055,GENE55,Cardio Trait 55,Impact 55
rs3000056,GENE56,Cardio Trait 56,Impact 56
rs3000057,GENE57,Cardio Trait 57,Impact 57
rs3000058,GENE58,Cardio Trait 58,Impact 58
rs3000059,GENE59,Cardio Trait 59,Impact 59
rs3000060,GENE60,Cardio Trait 60,Impact 60
rs3000061,GENE61,Cardio Trait 61,Impact 61
rs3000062,GENE62,Cardio Trait 62,Impact 62
rs3000063,GENE63,Cardio Trait 63,Impact 63
rs3000064,GENE64,Cardio Trait 64,Impact 64
rs3000065,GENE65,Cardio Trait 65,Impact 65
rs3000066,GENE66,Cardio Trait 66,Impact 66
rs3000067,GENE67,Cardio Trait 67,Impact 67
rs3000068,GENE68,Cardio Trait 68,Impact 68
rs3000069,GENE69,Cardio Trait 69,Impact 69
rs3000070,GENE70,Cardio Trait 70,Impact 70
rs3000071,GENE71,Cardio Trait 71,Impact 71
rs3000072,GENE72,Cardio Trait 72,Impact 72
rs3000073,GENE73,Cardio Trait 73,Impact 73
rs3000074,GENE74,Cardio Trait 74,Impact 74
rs3000075,GENE75,Cardio Trait 75,Impact 75
rs3000076,GENE76,Cardio Trait 76,Impact 76
rs3000077,GENE77,Cardio Trait 77,Impact 77
rs3000078,GENE78,Cardio Trait 78,Impact 78
rs3000079,GENE79,Cardio Trait 79,Impact 79
rs3000080,GENE80,Cardio Trait 80,Impact 80
rs3000081,GENE81,Cardio Trait 81,Impact 81
rs3000082,GENE82,Cardio Trait 82,Impact 82
rs3000083,GENE83,Cardio Trait 83,Impact 83
rs3000084,GENE84,Cardio Trait 84,Impact 84
rs3000085,GENE85,Cardio Trait 85,Impact 85
rs3000086,GENE86,Cardio Trait 86,Impact 86
rs3000087,GENE87,Cardio Trait 87,Impact 87
rs3000088,GENE88,Cardio Trait 88,Impact 88
rs3000089,GENE89,Cardio Trait 89,Impact 89
rs3000090,GENE90,Cardio Trait 90,Impact 90
rs3000091,GENE91,Cardio Trait 91,Impact 91
rs3000092,GENE92,Cardio Trait 92,Impact 92
rs3000093,GENE93,Cardio Trait 93,Impact 93
rs3000094,GENE94,Cardio Trait 94,Impact 94
rs3000095,GENE95,Cardio Trait 95,Impact 95
rs3000096,GENE96,Cardio Trait 96,Impact 96
rs3000097,GENE97,Cardio Trait 97,Impact 97
rs3000098,GENE98,Cardio Trait 98,Impact 98
rs3000099,GENE99,Cardio Trait 99,Impact 99
rs3000100,GENE100,Cardio Trait 100,Impact 100
rs3000101,GENE101,Cardio Trait 101,Impact 101
rs3000102,GENE102,Cardio Trait 102,Impact 102
rs3000103,GENE103,Cardio Trait 103,Impact 103
rs3000104,GENE104,Cardio Trait 104,Impact 104
rs3000105,GENE105,Cardio Trait 105,Impact 105
rs3000106,GENE106,Cardio Trait 106,Impact 106
rs3000107,GENE107,Cardio Trait 107,Impact 107
rs3000108,GENE108,Cardio Trait 108,Impact 108
rs3000109,GENE109,Cardio Trait 109,Impact 109
rs3000110,GENE110,Cardio Trait 110,Impact 110
rs3000111,GENE111,Cardio Trait 111,Impact 111
rs3000112,GENE112,Cardio Trait 112,Impact 112
rs3000113,GENE113,Cardio Trait 113,Impact 113
rs3000114,GENE114,Cardio Trait 114,Impact 114
rs3000115,GENE115,Cardio Trait 115,Impact 115
rs3000116,GENE116,Cardio Trait 116,Impact 116
rs3000117,GENE117,Cardio Trait 117,Impact 117
rs3000118,GENE118,Cardio Trait 118,Impact 118
rs3000119,GENE119,Cardio Trait 119,Impact 119
rs3000120,GENE120,Cardio Trait 120,Impact 120
rs3000121,GENE121,Cardio Trait 121,Impact 121
rs3000122,GENE122,Cardio Trait 122,Impact 122
rs3000123,GENE123,Cardio Trait 123,Impact 123
rs3000124,GENE124,Cardio Trait 124,Impact 124
rs3000125,GENE125,Cardio Trait 125,Impact 125
rs3000126,GENE126,Cardio Trait 126,Impact 126
rs3000127,GENE127,Cardio Trait 127,Impact 127
