rsid,gene,trait,impact
rs1801133,MTHFR,Folate metabolism,Reduced conversion to methylfolate
rs58542926,TM6SF2,Fat metabolism,Linked to non-alcoholic fatty liver disease
rs174546,FADS1,Omega-3 synthesis,Impaired conversion from ALA
rs17817449,FTO,Obesity risk,Higher BMI association
rs9939609,FTO,Satiety regulation,Increased appetite
rs662799,APOA5,Triglyceride levels,Elevated fasting triglycerides
rs964184,ZPR1,HDL cholesterol,Decreased HDL concentration
rs12785878,NADSYN1,Vitamin D status,Lower circulating levels
rs10741657,CYP2R1,Vitamin D metabolism,Reduced hydroxylation
rs2295418,SLC23A1,Vitamin C transport,Decreased plasma vitamin C
rs602662,FUT2,B12 absorption,Reduced intestinal uptake
rs492602,FUT2,Vitamin B12 metabolism,Secretor status effect
rs1229984,ADH1B,Alcohol metabolism,Rapid ethanol clearance
rs671,ALDH2,Acetaldehyde metabolism,Impaired alcohol detoxification
rs1799883,FABP2,Fat absorption,Increased saturated fat uptake
rs762551,CYP1A2,Caffeine metabolism,Fast or slow metabolizer
rs4410790,AHR,Caffeine sensitivity,Increased sensitivity
rs7903146,TCF7L2,Glucose response,Increased diabetes risk
rs1801282,PPARG,Insulin sensitivity,Modulated glucose metabolism
rs1800795,IL6,Inflammation and obesity,Elevated CRP and fat storage
rs10830963,MTNR1B,Melatonin/carb metabolism,Increased fasting glucose
rs1800629,TNF,Inflammatory metabolism,Chronic metabolic inflammation
rs5128,APOC3,Triglyceride regulation,Increased post-meal fat
rs174575,FADS2,PUFA metabolism,Altered omega-6/omega-3 ratios
rs1050450,GPX1,Oxidative stress,Nutritional antioxidant demand
rs1800566,NQO1,Vitamin B2 detox cofactor,Reduced enzyme activity
rs671,CYP2E1,Alcohol metabolism,Inducible enzyme variant
rs2236225,MTHFD1,Folate metabolism,Decreased conversion to THF
rs6025,F5,Vitamin K/Blood clotting,Increased thrombosis risk
rs1695,GSTP1,Detoxification,Reduced glutathione binding
rs2228570,VDR,Vitamin D receptor,Bone density and immunity
rs4988235,LCT,Lactose digestion,Lactase persistence
rs1042713,ADRB2,Energy metabolism,Beta-adrenergic sensitivity
rs2253206,BDNF,Satiety hormone regulation,Lower brain BDNF
rs17822931,ABCC11,Body odor & sulfur metabolism,Transporter variant
rs1219648,FGFR2,Dairy metabolism,Possible link to hormonal response
rs1799884,GCK,Glucose response,Impaired pancreatic function
rs1761667,CD36,Fat preference,Tendency toward high-fat foods
rs1501299,ADIPOQ,Adiponectin levels,Insulin sensitivity regulation
rs1143634,IL1B,Inflammation,Nutrient-linked inflammation modulation
rs1799817,INSR,Insulin signaling,Diabetes and nutrient metabolism
rs6564851,BCMO1,Carotenoid metabolism,Poor conversion of beta-carotene
rs1803274,BCHE,Choline metabolism,Affected lipid regulation
rs2544390,CYP7A1,Cholesterol metabolism,Bile acid synthesis rate
rs2228570,VDR,Calcium absorption,Bone and immune aging
rs1042034,APOB,Cholesterol transport,LDL particle effect
rs9930506,FTO,Obesity and satiety,Lower leptin signaling
rs174537,FADS1,Omega-3 ratio,EPA/DHA conversion efficiency
rs10455872,LPA,Lipoprotein(a),Heart disease and fat metabolism
rs1801131,MTHFR,Folate/Choline interplay,Enzyme variant
rs2855262,SLC2A2,Glucose transporter,Pancreatic insulin release
rs1726866,TAS2R38,Bitter taste perception,Food aversion sensitivity
rs713598,TAS2R38,Bitter receptor,Vegetable preference
rs539846,SCARB1,Cholesterol absorption,HDL uptake
rs1057910,CYP2C9,Warfarin/Vitamin K metabolism,Metabolism variation
rs9939609,FTO,Diet-induced obesity,Energy balance regulation
rs738409,PNPLA3,Fatty liver,Triglyceride storage
rs699,AGT,Sodium regulation,Salt sensitivity
rs10757278,9p21,Cholesterol pathway,Heart disease gene link
rs3764261,CETP,HDL cholesterol,Cholesterol transfer rate
rs601338,FUT2,B12 absorption,Secretor status
rs1042714,ADRB2,Energy balance,Thermogenesis control
